id,payment_id,payment_type,payment_date,payment_status,amount
115,PAY-688205,Apple Pay,2024-07-09,Failed,1366
116,PAY-390007,PayPal,2024-05-19,Completed,1592
117,PAY-510111,Credit Card,2024-05-11,Refunded,1297
118,PAY-735110,Apple Pay,2024-05-31,Refunded,1780
119,PAY-607621,Credit Card,2024-01-28,Failed,699
120,PAY-229202,Debit Card,2024-02-23,Pending,1818
121,PAY-284335,Bank Transfer,2024-08-08,Pending,1898
122,PAY-969090,Credit Card,2024-03-19,Completed,1384
123,PAY-323432,Debit Card,2024-05-04,Completed,623
124,PAY-194579,Bank Transfer,2024-01-08,Completed,213
125,PAY-839007,Credit Card,2024-06-26,Completed,1815
126,PAY-810368,Debit Card,2024-04-02,Pending,1312
127,PAY-726784,Apple Pay,2024-06-08,Pending,1165
128,PAY-994105,Apple Pay,2024-09-20,Failed,1431
129,PAY-592665,Credit Card,2024-09-01,Pending,337
130,PAY-830874,Bank Transfer,2024-07-02,Completed,1715
131,PAY-155925,Debit Card,2024-11-14,Failed,247
132,PAY-359622,Apple Pay,2024-07-07,Pending,238
133,PAY-335076,Bank Transfer,2024-12-15,Completed,570
134,PAY-416708,Apple Pay,2024-11-15,Refunded,1633
135,PAY-201564,Apple Pay,2024-03-15,Failed,947
136,PAY-463615,Debit Card,2024-04-12,Pending,522
137,PAY-241422,Debit Card,2024-09-09,Failed,1647
138,PAY-632537,PayPal,2024-08-06,Refunded,367
139,PAY-215200,PayPal,2024-09-28,Refunded,1079
140,PAY-592752,Credit Card,2024-01-25,Completed,591
141,PAY-769716,PayPal,2024-10-10,Refunded,1096
142,PAY-907807,Debit Card,2024-03-23,Failed,1734
143,PAY-987026,Bank Transfer,2024-07-17,Refunded,272
144,PAY-384216,Credit Card,2024-10-15,Completed,1656
145,PAY-213936,Bank Transfer,2024-04-29,Completed,372
146,PAY-887140,PayPal,2024-06-29,Failed,1663
147,PAY-880820,Debit Card,2024-01-14,Failed,1405
148,PAY-438100,Debit Card,2024-04-26,Completed,156
149,PAY-178364,PayPal,2024-10-20,Pending,1130
150,PAY-276417,Apple Pay,2024-06-23,Completed,706
151,PAY-584847,Credit Card,2024-10-18,Pending,1565
152,PAY-211568,Credit Card,2024-11-05,Refunded,1047
153,PAY-182115,Credit Card,2024-08-20,Completed,1842
154,PAY-662733,PayPal,2024-12-28,Failed,596
155,PAY-357235,Credit Card,2024-11-12,Failed,1926
156,PAY-103773,Bank Transfer,2024-01-24,Refunded,688
157,PAY-892359,Debit Card,2024-01-23,Failed,1531
158,PAY-958079,Debit Card,2024-05-27,Completed,59
159,PAY-547533,Apple Pay,2024-09-24,Pending,1616
160,PAY-328581,Apple Pay,2024-02-12,Failed,522
161,PAY-714726,Debit Card,2024-12-16,Pending,1333
162,PAY-293876,Debit Card,2024-09-18,Refunded,675
163,PAY-803348,Credit Card,2024-02-09,Completed,406
164,PAY-130506,Bank Transfer,2024-09-10,Refunded,1965
165,PAY-151253,Apple Pay,2024-08-17,Refunded,513
166,PAY-728794,PayPal,2024-08-01,Refunded,98
167,PAY-852136,Credit Card,2024-07-16,Completed,1207
168,PAY-143749,Debit Card,2024-02-09,Failed,363
169,PAY-612414,Credit Card,2024-01-20,Refunded,1164
170,PAY-298362,Apple Pay,2024-01-21,Refunded,1000
171,PAY-987762,Debit Card,2024-03-21,Pending,1941
172,PAY-378387,PayPal,2024-10-29,Pending,645
173,PAY-642029,Bank Transfer,2024-04-06,Completed,121
174,PAY-951039,PayPal,2024-11-23,Pending,851
175,PAY-725055,PayPal,2024-09-27,Completed,184
176,PAY-757429,Credit Card,2024-08-31,Failed,312
177,PAY-653263,PayPal,2024-07-08,Failed,1320
178,PAY-599899,Apple Pay,2024-02-27,Completed,1671
179,PAY-481408,PayPal,2024-01-27,Refunded,150
180,PAY-747228,Apple Pay,2024-03-31,Failed,268
181,PAY-125721,Credit Card,2024-07-26,Pending,1635
182,PAY-200376,Debit Card,2024-02-10,Refunded,300
183,PAY-687551,Bank Transfer,2024-09-26,Completed,526
184,PAY-835190,Debit Card,2024-12-04,Pending,594
185,PAY-424358,Debit Card,2024-09-02,Completed,1092
186,PAY-338446,Credit Card,2024-02-04,Pending,440
187,PAY-709946,Apple Pay,2024-06-28,Completed,457
188,PAY-245720,Debit Card,2024-06-20,Refunded,1197
189,PAY-518269,Credit Card,2024-07-14,Completed,1600
190,PAY-987899,Apple Pay,2024-01-03,Refunded,851
191,PAY-609512,Debit Card,2024-09-08,Refunded,1203
192,PAY-926990,Bank Transfer,2024-08-15,Refunded,1651
193,PAY-283325,Debit Card,2024-05-22,Pending,777
194,PAY-557287,Debit Card,2024-12-14,Completed,1149
195,PAY-682911,Credit Card,2024-05-23,Refunded,1048
196,PAY-951635,Credit Card,2024-08-19,Pending,502
197,PAY-562993,Apple Pay,2024-11-05,Failed,1344
198,PAY-769510,Credit Card,2024-03-18,Pending,1765
199,PAY-634043,Debit Card,2024-08-20,Refunded,1776
200,PAY-192255,Credit Card,2024-07-10,Completed,1979
201,PAY-908704,Apple Pay,2024-10-09,Failed,949
202,PAY-387734,Credit Card,2024-08-20,Failed,1574
203,PAY-421145,Bank Transfer,2024-12-18,Completed,496
204,PAY-781964,Apple Pay,2024-12-24,Failed,816
205,PAY-952178,Bank Transfer,2024-10-26,Completed,1656
206,PAY-821547,Credit Card,2024-02-05,Failed,1163
207,PAY-134584,Bank Transfer,2024-02-29,Pending,1407
208,PAY-503566,Bank Transfer,2024-06-07,Pending,62
209,PAY-480380,PayPal,2024-08-29,Pending,674
210,PAY-215310,Bank Transfer,2024-11-14,Completed,1735
211,PAY-680465,Debit Card,2024-07-26,Pending,480
212,PAY-705127,PayPal,2024-10-02,Pending,1404
213,PAY-547549,Credit Card,2024-08-27,Failed,640
214,PAY-216545,Apple Pay,2024-01-23,Pending,1907
215,PAY-769884,Bank Transfer,2024-01-19,Refunded,1466
216,PAY-163137,Debit Card,2024-01-22,Refunded,1639
217,PAY-776910,Bank Transfer,2024-08-01,Completed,284
218,PAY-795997,PayPal,2024-08-30,Failed,836
219,PAY-235806,Debit Card,2024-08-03,Completed,845
220,PAY-292745,Credit Card,2024-05-01,Failed,1159
221,PAY-745839,Bank Transfer,2024-08-15,Pending,369
222,PAY-218797,Credit Card,2024-05-06,Failed,339
223,PAY-622359,Bank Transfer,2024-04-08,Failed,971
224,PAY-945829,PayPal,2024-04-01,Failed,768
225,PAY-690496,Credit Card,2024-03-22,Refunded,72
226,PAY-725971,PayPal,2024-08-04,Completed,1862
227,PAY-971247,Debit Card,2024-06-27,Failed,1374
228,PAY-834161,Bank Transfer,2024-06-17,Refunded,1639
229,PAY-835406,Bank Transfer,2024-02-22,Pending,1621
230,PAY-984145,Credit Card,2024-02-14,Completed,1521
231,PAY-163154,Bank Transfer,2024-04-30,Failed,1988
232,PAY-962709,Credit Card,2024-07-27,Completed,1476
233,PAY-215028,PayPal,2024-05-18,Failed,1884
234,PAY-247358,Apple Pay,2024-05-02,Pending,1668
235,PAY-497743,Bank Transfer,2024-06-04,Failed,638
236,PAY-657915,PayPal,2024-03-17,Failed,870
237,PAY-931356,Credit Card,2024-08-30,Failed,812
238,PAY-368070,Bank Transfer,2024-01-21,Refunded,992
239,PAY-822770,Credit Card,2024-04-08,Failed,255
240,PAY-640690,Debit Card,2024-10-30,Completed,689
241,PAY-961191,PayPal,2024-05-07,Completed,1665
242,PAY-366843,Apple Pay,2024-07-19,Refunded,1532
243,PAY-655046,Bank Transfer,2024-01-21,Failed,34
244,PAY-717572,Bank Transfer,2024-03-13,Failed,773
245,PAY-228230,Bank Transfer,2024-03-18,Refunded,1912
246,PAY-722265,Debit Card,2024-12-06,Completed,125
247,PAY-849519,Debit Card,2024-02-13,Pending,57
248,PAY-722539,Bank Transfer,2024-08-24,Failed,559
249,PAY-819933,PayPal,2024-04-16,Pending,1436
250,PAY-628434,Credit Card,2024-10-27,Completed,1661
251,PAY-983549,Apple Pay,2024-06-22,Refunded,1265
252,PAY-197757,Bank Transfer,2024-01-08,Failed,1377
253,PAY-934490,Debit Card,2024-08-11,Failed,405
254,PAY-294640,Credit Card,2024-01-20,Refunded,682
255,PAY-970843,PayPal,2024-12-03,Failed,766
256,PAY-361973,Bank Transfer,2024-02-25,Completed,1064
257,PAY-329844,Apple Pay,2024-09-29,Failed,99
258,PAY-852555,Bank Transfer,2024-05-31,Failed,1435
259,PAY-869056,Apple Pay,2024-01-26,Refunded,1312
260,PAY-786739,Bank Transfer,2024-09-03,Pending,622
261,PAY-140302,Bank Transfer,2024-04-23,Pending,1069
262,PAY-658233,Debit Card,2024-03-18,Failed,17
263,PAY-551446,Apple Pay,2024-03-23,Pending,522
264,PAY-249644,Credit Card,2024-02-14,Pending,1954
265,PAY-644637,Debit Card,2024-08-23,Completed,526
266,PAY-625863,PayPal,2024-07-11,Refunded,1589
267,PAY-193411,Apple Pay,2024-05-31,Refunded,1877
268,PAY-255349,Credit Card,2024-06-26,Failed,1478
269,PAY-292351,Credit Card,2024-05-10,Pending,1862
270,PAY-587463,Bank Transfer,2024-05-02,Refunded,1562
271,PAY-789079,PayPal,2024-11-09,Refunded,742
272,PAY-812402,Credit Card,2024-09-02,Failed,1541
273,PAY-481495,PayPal,2024-08-10,Refunded,34
274,PAY-316060,Debit Card,2024-08-29,Completed,1676
275,PAY-648215,Debit Card,2024-08-19,Failed,1867
276,PAY-235989,Debit Card,2024-10-01,Pending,1846
277,PAY-273785,Apple Pay,2024-11-12,Failed,1645
278,PAY-833290,Credit Card,2024-10-15,Refunded,1771
279,PAY-340783,Bank Transfer,2024-07-17,Pending,42
280,PAY-152475,Apple Pay,2024-06-03,Failed,477
281,PAY-573868,Debit Card,2024-10-13,Refunded,810
282,PAY-779358,Apple Pay,2024-09-17,Failed,933
283,PAY-133211,Credit Card,2024-01-15,Completed,1694
284,PAY-781907,PayPal,2024-11-22,Failed,435
285,PAY-661980,Debit Card,2024-05-20,Completed,1201
286,PAY-645114,Apple Pay,2024-08-22,Refunded,401
287,PAY-449625,Bank Transfer,2024-08-31,Failed,98
288,PAY-822653,Credit Card,2024-08-25,Refunded,270
289,PAY-544862,Debit Card,2024-10-06,Refunded,222
290,PAY-767914,Debit Card,2024-01-08,Pending,976
291,PAY-895093,Bank Transfer,2024-11-25,Refunded,1991
292,PAY-113554,Credit Card,2024-05-02,Completed,640
293,PAY-902308,Bank Transfer,2024-09-10,Pending,1636
294,PAY-154219,Bank Transfer,2024-01-20,Pending,401
295,PAY-369538,Apple Pay,2024-04-04,Pending,846
296,PAY-431011,Bank Transfer,2024-02-18,Pending,360
297,PAY-788016,PayPal,2024-07-01,Failed,88
298,PAY-515160,Credit Card,2024-09-09,Refunded,32
299,PAY-422505,Bank Transfer,2024-10-21,Failed,829
300,PAY-691662,Debit Card,2024-10-02,Refunded,1927
301,PAY-105055,Apple Pay,2024-09-01,Completed,1056
302,PAY-455178,Bank Transfer,2024-04-11,Pending,1015
303,PAY-467393,Apple Pay,2024-05-07,Pending,111
304,PAY-553066,Debit Card,2024-06-30,Failed,163
305,PAY-881576,Debit Card,2024-04-15,Completed,140
306,PAY-811713,Debit Card,2024-12-21,Refunded,1809
307,PAY-289375,Bank Transfer,2024-03-03,Failed,959
308,PAY-366382,Apple Pay,2024-10-01,Completed,1124
309,PAY-743313,Credit Card,2024-11-25,Refunded,462
310,PAY-695706,Credit Card,2024-08-01,Pending,1208
311,PAY-929225,Debit Card,2024-01-25,Failed,1066
312,PAY-449079,Bank Transfer,2024-06-29,Completed,1849
313,PAY-828558,Bank Transfer,2024-03-09,Completed,1180
314,PAY-315555,Bank Transfer,2024-07-20,Pending,1315
315,PAY-295864,PayPal,2024-11-21,Completed,1332
316,PAY-184963,Credit Card,2024-11-13,Completed,519
317,PAY-982792,Debit Card,2024-05-05,Pending,1068
318,PAY-517411,Apple Pay,2024-04-15,Pending,839
319,PAY-978274,Credit Card,2024-02-18,Completed,549
320,PAY-278691,Debit Card,2024-10-24,Pending,1184
321,PAY-251729,PayPal,2024-04-13,Completed,911
322,PAY-772552,Apple Pay,2024-04-09,Pending,553
323,PAY-531743,Debit Card,2024-02-13,Pending,1167
324,PAY-138609,Credit Card,2024-11-18,Pending,587
325,PAY-722158,Apple Pay,2024-02-09,Completed,130
326,PAY-460846,Apple Pay,2024-12-05,Pending,1643
327,PAY-511944,PayPal,2024-09-01,Failed,1142
328,PAY-959742,Debit Card,2024-10-07,Refunded,526
329,PAY-687676,Credit Card,2024-11-23,Completed,1404
330,PAY-898220,PayPal,2024-06-23,Pending,1712
331,PAY-589458,Debit Card,2024-02-20,Pending,1184
332,PAY-267559,PayPal,2024-07-02,Failed,1029
333,PAY-604389,PayPal,2024-08-09,Completed,228
334,PAY-893756,Credit Card,2024-11-21,Pending,727
335,PAY-861680,Apple Pay,2024-03-23,Refunded,1519
336,PAY-626659,Apple Pay,2024-04-10,Completed,392
337,PAY-383600,Bank Transfer,2024-09-19,Completed,1023
338,PAY-679301,Apple Pay,2024-11-05,Failed,1774
339,PAY-225971,PayPal,2024-02-06,Failed,816
340,PAY-445295,Credit Card,2024-02-23,Refunded,247
341,PAY-461037,Bank Transfer,2024-10-19,Failed,875
342,PAY-255987,Bank Transfer,2024-11-14,Refunded,1098
343,PAY-384263,PayPal,2024-03-02,Completed,1036
344,PAY-678498,Bank Transfer,2024-06-11,Pending,565
345,PAY-788552,Credit Card,2024-03-01,Failed,933
346,PAY-380775,Bank Transfer,2024-10-16,Pending,595
347,PAY-786759,Credit Card,2024-09-01,Pending,1384
348,PAY-217927,Apple Pay,2024-03-24,Completed,1485
349,PAY-568520,Bank Transfer,2024-01-24,Refunded,364
350,PAY-946927,Apple Pay,2024-09-09,Failed,1841
351,PAY-750653,Credit Card,2024-03-21,Pending,632
352,PAY-281371,Credit Card,2024-09-29,Completed,436
353,PAY-299726,Apple Pay,2024-12-20,Pending,113
354,PAY-935659,Apple Pay,2024-05-23,Refunded,948
355,PAY-851485,Apple Pay,2024-06-08,Refunded,57
356,PAY-640248,Bank Transfer,2024-09-10,Completed,1293
357,PAY-922061,Credit Card,2024-06-13,Pending,298
358,PAY-980156,Apple Pay,2024-06-25,Failed,1555
359,PAY-630435,Credit Card,2024-10-05,Refunded,1623
360,PAY-320740,Bank Transfer,2024-07-14,Failed,1695
361,PAY-999885,Credit Card,2024-11-11,Failed,200
362,PAY-929654,Debit Card,2024-09-08,Completed,1251
363,PAY-430899,Debit Card,2024-07-05,Refunded,1534
364,PAY-208076,Bank Transfer,2024-04-16,Failed,1454
365,PAY-414402,Apple Pay,2024-05-09,Failed,1496
366,PAY-604908,Credit Card,2024-06-14,Pending,259
367,PAY-914134,Apple Pay,2024-06-02,Refunded,108
368,PAY-813498,Debit Card,2024-06-01,Failed,1568
369,PAY-938655,Bank Transfer,2024-02-03,Pending,250
370,PAY-680241,Credit Card,2024-03-21,Completed,1775
371,PAY-102511,Credit Card,2024-01-28,Pending,447
372,PAY-906318,Credit Card,2024-10-18,Failed,728
373,PAY-592253,PayPal,2024-12-08,Completed,1321
374,PAY-484593,PayPal,2024-07-15,Pending,771
375,PAY-713638,Debit Card,2024-05-28,Completed,1690
376,PAY-870469,Credit Card,2024-04-07,Failed,1748
377,PAY-213923,PayPal,2024-06-09,Pending,1221
378,PAY-873809,Debit Card,2024-07-25,Pending,21
379,PAY-231730,Debit Card,2024-03-02,Pending,1444
380,PAY-185629,Apple Pay,2024-10-01,Completed,1398
381,PAY-488828,Bank Transfer,2024-04-12,Completed,430
382,PAY-494112,PayPal,2024-04-25,Pending,1745
383,PAY-864578,Debit Card,2024-06-05,Refunded,1911
384,PAY-955882,Debit Card,2024-08-22,Refunded,1485
385,PAY-387927,PayPal,2024-12-02,Pending,1224
386,PAY-172092,Apple Pay,2024-08-13,Failed,1054
387,PAY-190765,Debit Card,2024-04-18,Pending,519
388,PAY-990476,Credit Card,2024-07-01,Failed,1061
389,PAY-123531,Debit Card,2024-12-06,Pending,1972
390,PAY-975706,Apple Pay,2024-12-31,Pending,1848
391,PAY-332446,Debit Card,2024-05-02,Pending,1193
392,PAY-754686,Debit Card,2024-09-10,Failed,137
393,PAY-272611,Credit Card,2024-02-29,Completed,1390
394,PAY-124114,Credit Card,2024-03-05,Failed,427
395,PAY-683422,Credit Card,2024-06-14,Failed,1764
396,PAY-241427,Bank Transfer,2024-09-06,Completed,704
397,PAY-714775,Bank Transfer,2024-12-16,Refunded,360
398,PAY-375754,Debit Card,2024-04-14,Failed,1217
399,PAY-796011,Debit Card,2024-05-05,Failed,63
400,PAY-479536,PayPal,2024-03-11,Refunded,86
401,PAY-238411,Bank Transfer,2024-07-04,Pending,643
402,PAY-815803,Bank Transfer,2024-07-23,Failed,674
403,PAY-940619,Apple Pay,2024-10-22,Pending,1924
404,PAY-965921,Apple Pay,2024-01-28,Completed,214
405,PAY-884683,PayPal,2024-08-20,Pending,459
406,PAY-441617,Bank Transfer,2024-06-10,Pending,1768
407,PAY-725331,Debit Card,2024-12-26,Failed,656
408,PAY-925959,Debit Card,2024-04-21,Refunded,599
409,PAY-719825,PayPal,2024-05-07,Completed,1202
410,PAY-811062,Debit Card,2024-03-06,Completed,557
411,PAY-685371,Credit Card,2024-08-31,Failed,1606
412,PAY-792867,PayPal,2024-09-17,Failed,523
413,PAY-642351,Apple Pay,2024-04-10,Failed,1774
414,PAY-172834,PayPal,2024-06-26,Refunded,590
415,PAY-507546,Bank Transfer,2024-04-18,Pending,668
416,PAY-938740,Debit Card,2024-05-23,Completed,1641
417,PAY-803928,Credit Card,2024-01-04,Refunded,1022
418,PAY-852918,PayPal,2024-08-17,Failed,1466
419,PAY-431186,PayPal,2024-06-26,Failed,177
420,PAY-997327,Apple Pay,2024-10-12,Refunded,218
421,PAY-796406,PayPal,2024-06-30,Completed,457
422,PAY-596661,PayPal,2024-09-22,Pending,330
423,PAY-749100,Apple Pay,2024-08-10,Completed,1822
424,PAY-136503,Apple Pay,2024-04-27,Refunded,36
425,PAY-631455,Debit Card,2024-07-09,Failed,1317
426,PAY-622393,Bank Transfer,2024-02-08,Refunded,434
427,PAY-970415,Apple Pay,2024-04-24,Completed,434
428,PAY-727037,PayPal,2024-12-28,Completed,605
429,PAY-774507,Debit Card,2024-06-18,Refunded,1217
430,PAY-574317,Apple Pay,2024-11-05,Pending,533
431,PAY-605369,PayPal,2024-05-16,Pending,554
432,PAY-141698,Apple Pay,2024-08-03,Refunded,1323
433,PAY-144811,Debit Card,2024-06-14,Pending,274
434,PAY-137366,Debit Card,2024-09-05,Refunded,201
435,PAY-656993,Apple Pay,2024-12-20,Refunded,1761
436,PAY-344528,PayPal,2024-09-11,Refunded,135
437,PAY-800789,Debit Card,2024-11-07,Failed,950
438,PAY-684790,Apple Pay,2024-10-17,Refunded,1858
439,PAY-753456,Credit Card,2024-04-24,Completed,212
440,PAY-998585,Credit Card,2024-10-04,Completed,962
441,PAY-601549,Bank Transfer,2024-07-06,Pending,706
442,PAY-433425,Bank Transfer,2024-07-06,Pending,89
443,PAY-742893,Bank Transfer,2024-10-15,Pending,1373
444,PAY-339320,Apple Pay,2024-03-19,Failed,1984
445,PAY-651731,PayPal,2024-05-30,Failed,1070
446,PAY-371353,Bank Transfer,2024-07-19,Pending,1097
447,PAY-127233,Credit Card,2024-04-07,Pending,983
448,PAY-242166,Bank Transfer,2024-09-13,Failed,1812
449,PAY-856486,PayPal,2024-09-04,Pending,1984
450,PAY-576699,Bank Transfer,2024-09-05,Failed,1150
451,PAY-785166,Debit Card,2024-07-08,Pending,1212
452,PAY-884510,Debit Card,2024-05-07,Completed,1626
453,PAY-500058,Apple Pay,2024-01-20,Completed,132
454,PAY-858849,Debit Card,2024-04-20,Pending,1645
455,PAY-117453,PayPal,2024-10-27,Failed,420
456,PAY-827127,Apple Pay,2024-08-04,Pending,311
457,PAY-962987,Credit Card,2024-10-25,Failed,836
458,PAY-894992,Credit Card,2024-02-13,Pending,1838
459,PAY-190943,Bank Transfer,2024-12-24,Completed,936
460,PAY-201374,Apple Pay,2024-09-11,Failed,1268
461,PAY-378101,PayPal,2024-12-27,Completed,1658
462,PAY-419157,Apple Pay,2024-08-10,Completed,1579
463,PAY-906788,Debit Card,2024-12-17,Completed,1050
464,PAY-201451,Apple Pay,2024-12-22,Completed,1167
465,PAY-839728,PayPal,2024-10-09,Completed,431
466,PAY-288355,Apple Pay,2024-07-29,Completed,1582
467,PAY-167442,Credit Card,2024-07-08,Completed,1258
468,PAY-391523,Credit Card,2024-02-02,Refunded,344
469,PAY-910064,Apple Pay,2024-01-06,Pending,1536
470,PAY-448526,Bank Transfer,2024-08-10,Failed,1058
471,PAY-831992,Apple Pay,2024-12-19,Failed,1204
472,PAY-351541,PayPal,2024-03-31,Failed,1831
473,PAY-994269,Apple Pay,2024-10-10,Completed,1958
474,PAY-927401,PayPal,2024-02-04,Refunded,431
475,PAY-856059,Bank Transfer,2024-01-20,Refunded,1754
476,PAY-219320,Credit Card,2024-06-12,Failed,899
477,PAY-818024,PayPal,2024-05-08,Failed,919
